Id,Year_Birth,Income
1826,1970,84835.0
1,1961,57091.0
10476,1958,67267.0
1386,1967,32474.0
5371,1989,21474.0
7348,1958,71691.0
4073,1954,63564.0
1991,1967,44931.0
4047,1954,65324.0
9477,1954,65324.0
2079,1947,81044.0
5642,1979,62499.0
10530,1959,67786.0
2964,1981,26872.0
10311,1969,4428.0
837,1977,54809.0
10521,1977,54809.0
10175,1958,32173.0
1473,1960,47823.0
2795,1958,30523.0
2285,1954,36634.0
115,1966,43456.0
10470,1979,40662.0
4065,1976,49544.0
10968,1969,57731.0
5985,1965,33168.0
5430,1956,54450.0
8432,1956,54450.0
453,1956,35340.0
9687,1975,73170.0
8890,1971,65808.0
9264,1986,79529.0
5824,1972,34578.0
5794,1974,46374.0
3068,1990,18351.0
7962,1987,95169.0
2681,1984,65370.0
10141,1960,39228.0
3725,1961,84865.0
3767,1968,61314.0
5585,1972,21359.0
7030,1955,66465.0
1524,1983,81698.0
3657,1986,39146.0
5740,1970,25959.0
9595,1961,64260.0
3158,1973,32300.0
5114,1965,74806.0
340,1970,72967.0
8805,1960,48904.0
1241,1984,14796.0
1402,1954,66991.0
7264,1978,52195.0
1619,1956,90369.0
6398,1974,18393.0
1857,1952,47139.0
4877,1973,38576.0
3066,1975,61905.0
10286,1962,83715.0
1992,1964,60597.0
4246,1982,6560.0
10623,1961,48330.0
4867,1968,38236.0
3112,1977,22701.0
4865,1974,53367.0
6287,1986,34728.0
4405,1956,63915.0
5332,1960,82504.0
1519,1972,38578.0
9080,1972,38578.0
1772,1975,79174.0
5341,1962,81975.0
5510,1977,43263.0
3887,1970,27242.0
7022,1971,76445.0
9999,1965,75276.0
10352,1963,34213.0
7919,1976,72335.0
4114,1964,79143.0
7990,1947,27469.0
9888,1969,68695.0
4399,1969,68695.0
4452,1957,50388.0
4785,1970,77622.0
8461,1962,46102.0
3878,1980,31859.0
9612,1987,23830.0
4098,1973,24639.0
158,1945,71604.0
3896,1984,27255.0
9970,1977,55375.0
4002,1960,77037.0
10914,1970,24163.0
7279,1969,69476.0
10582,1979,72063.0
4470,1962,58646.0
6183,1962,58646.0
6379,1949,47570.0
8601,1980,80011.0
4827,1956,54998.0
6715,1948,60200.0
10676,1982,63211.0
1041,1973,48432.0
492,1973,48432.0
11133,1973,48432.0
4491,1949,62845.0
873,1949,62845.0
1631,1965,65220.0
8278,1990,74214.0
6815,1980,96547.0
254,1955,53863.0
1349,1970,50447.0
2534,1953,37716.0
2130,1982,45203.0
2296,1975,37368.0
3799,1955,67225.0
11084,1976,65104.0
5172,1976,65104.0
9504,1949,81698.0
850,1968,70566.0
4477,1958,69096.0
1945,1962,71434.0
7685,1978,33039.0
6310,1978,33039.0
10832,1958,46610.0
3025,1958,49967.0
2404,1976,53359.0
8581,1971,49505.0
8755,1946,68657.0
10177,1954,72071.0
2429,1954,72071.0
8920,1967,59235.0
8430,1957,21994.0
8619,1957,21994.0
8996,1957,
7233,1972,69209.0
6678,1989,31928.0
830,1987,74004.0
6365,1987,30390.0
6770,1985,21355.0
2261,1969,26304.0
1031,1989,85710.0
10089,1974,102692.0
9256,1971,58350.0
10641,1978,7500.0
624,1984,18890.0
4211,1986,20425.0
1407,1986,20425.0
10356,1957,41437.0
9323,1949,49912.0
1146,1949,49912.0
6343,1959,79823.0
8545,1954,85683.0
8275,1965,47025.0
10673,1976,68397.0
8799,1984,38175.0
67,1972,46423.0
9923,1972,46423.0
2814,1976,30560.0
2711,1976,30560.0
4320,1979,60152.0
10451,1965,29672.0
4198,1965,29672.0
10814,1947,70321.0
944,1962,56181.0
8151,1990,24279.0
6184,1969,68462.0
3498,1976,55424.0
2870,1973,49094.0
7342,1961,59184.0
1911,1987,67430.0
10862,1960,30522.0
2546,1977,31878.0
3005,1992,83528.0
8318,1979,90300.0
2930,1978,68092.0
8216,1972,53761.0
1212,1973,52845.0
2541,1976,24027.0
10659,1979,7500.0
10905,1955,42586.0
