"Ano_Mes","Qtd_Vendas"
"2020/01","1070"
"2020/02","537"
"2020/03","549"
"2020/04","554"
"2020/05","877"
"2020/06","561"
"2020/07","554"
"2020/08","544"
"2020/09","575"
"2020/10","532"
"2020/11","1628"
"2020/12","1151"
"2021/01","1653"
"2021/02","834"
"2021/03","813"
"2021/04","848"
"2021/05","1210"
"2021/06","798"
"2021/07","870"
"2021/08","849"
"2021/09","823"
"2021/10","829"
"2021/11","2471"
"2021/12","1625"
"2022/01","2252"
"2022/02","1100"
"2022/03","1105"
"2022/04","1110"
"2022/05","1678"
"2022/06","1104"
"2022/07","1068"
"2022/08","1046"
"2022/09","1046"
"2022/10","1110"
"2022/11","3200"
"2022/12","2252"
"2023/01","1598"
"2023/02","824"
"2023/03","863"
"2023/04","773"
"2023/05","1245"
"2023/06","751"
"2023/07","807"
"2023/08","740"
"2023/09","788"
"2023/10","785"
